num_cores, l1i_size, l1d_size, l2_size, l3_size, peak_bw, mat_size, max_core_cycles
1, 32768, 65536, 524288, 1048576, 1024, 128, 198804185
1, 32768, 65536, 524288, 1048576, 4096, 128, 198332237
1, 32768, 65536, 524288, 1048576, 16384, 128, 198255785
1, 32768, 65536, 524288, 1048576, 65536, 128, 198241673
1, 32768, 65536, 524288, 1048576, 262144, 128, 198241203
2, 32768, 65536, 524288, 1048576, 1024, 128, 109408903
2, 32768, 65536, 524288, 1048576, 4096, 128, 108972445
2, 32768, 65536, 524288, 1048576, 16384, 128, 108944994
2, 32768, 65536, 524288, 1048576, 65536, 128, 108952327
2, 32768, 65536, 524288, 1048576, 262144, 128, 108885766
4, 32768, 65536, 524288, 1048576, 1024, 128, 63713400
4, 32768, 65536, 524288, 1048576, 4096, 128, 63219154
4, 32768, 65536, 524288, 1048576, 16384, 128, 63166488
4, 32768, 65536, 524288, 1048576, 65536, 128, 63123353
4, 32768, 65536, 524288, 1048576, 262144, 128, 63123555
8, 32768, 65536, 524288, 1048576, 1024, 128, 41406583
8, 32768, 65536, 524288, 1048576, 4096, 128, 40863934
8, 32768, 65536, 524288, 1048576, 16384, 128, 40871666
8, 32768, 65536, 524288, 1048576, 65536, 128, 40653997
8, 32768, 65536, 524288, 1048576, 262144, 128, 40685691
16, 32768, 65536, 524288, 1048576, 1024, 128, 30194822
16, 32768, 65536, 524288, 1048576, 4096, 128, 29684230
16, 32768, 65536, 524288, 1048576, 16384, 128, 29574521
16, 32768, 65536, 524288, 1048576, 65536, 128, 29588493
16, 32768, 65536, 524288, 1048576, 262144, 128, 29602792
32, 32768, 65536, 524288, 1048576, 1024, 128, 24864923
32, 32768, 65536, 524288, 1048576, 4096, 128, 24362530
32, 32768, 65536, 524288, 1048576, 16384, 128, 24274353
32, 32768, 65536, 524288, 1048576, 65536, 128, 24214932
32, 32768, 65536, 524288, 1048576, 262144, 128, 24256243
64, 32768, 65536, 524288, 1048576, 1024, 128, 21927832
64, 32768, 65536, 524288, 1048576, 4096, 128, 21433917
64, 32768, 65536, 524288, 1048576, 16384, 128, 21325184
64, 32768, 65536, 524288, 1048576, 65536, 128, 21318351
64, 32768, 65536, 524288, 1048576, 262144, 128, 21334913
128, 32768, 65536, 524288, 1048576, 1024, 128, 22452300
128, 32768, 65536, 524288, 1048576, 4096, 128, 21496637
128, 32768, 65536, 524288, 1048576, 16384, 128, 20573800
128, 32768, 65536, 524288, 1048576, 65536, 128, 20398120
128, 32768, 65536, 524288, 1048576, 262144, 128, 20393562
256, 32768, 65536, 524288, 1048576, 1024, 128, 24593204
256, 32768, 65536, 524288, 1048576, 4096, 128, 22283940
256, 32768, 65536, 524288, 1048576, 16384, 128, 21149644
256, 32768, 65536, 524288, 1048576, 65536, 128, 20856197
256, 32768, 65536, 524288, 1048576, 262144, 128, 20784240
